r,t,f,y,UseByTechnologyAnnual
REGION1,DEMINDBIO,BIO,2018,16.4764
REGION1,DEMINDBIO,BIO,2019,17.5266
REGION1,DEMINDBIO,BIO,2020,19.2497
REGION1,DEMINDBIO,BIO,2021,20.9724
REGION1,DEMINDBIO,BIO,2022,22.6946
REGION1,DEMINDBIO,BIO,2023,24.4165
REGION1,DEMINDBIO,BIO,2024,26.1381
REGION1,DEMINDBIO,BIO,2025,27.8592
REGION1,DEMINDBIO,BIO,2026,29.58
REGION1,DEMINDBIO,BIO,2027,31.3006
REGION1,DEMINDBIO,BIO,2028,33.021
REGION1,DEMINDBIO,BIO,2029,34.741
REGION1,DEMINDBIO,BIO,2030,36.2458
REGION1,DEMINDCOA,COA,2016,7.2081
REGION1,DEMINDCOA,COA,2017,7.5002
REGION1,DEMINDCOA,COA,2018,7.7851
REGION1,DEMINDCOA,COA,2019,8.0636
REGION1,DEMINDCOA,COA,2020,8.474
REGION1,DEMINDCOA,COA,2021,8.868
REGION1,DEMINDCOA,COA,2022,9.2474
REGION1,DEMINDCOA,COA,2023,9.6143
REGION1,DEMINDCOA,COA,2024,9.9697
REGION1,DEMINDCOA,COA,2025,10.315
REGION1,DEMINDCOA,COA,2026,10.6512
REGION1,DEMINDCOA,COA,2027,10.9791
REGION1,DEMINDCOA,COA,2028,11.2995
REGION1,DEMINDCOA,COA,2029,11.6128
REGION1,DEMINDCOA,COA,2030,11.8673
REGION1,DEMINDDSL,DSL,2016,6.9973
REGION1,DEMINDDSL,DSL,2017,7.2809
REGION1,DEMINDDSL,DSL,2018,7.5574
REGION1,DEMINDDSL,DSL,2019,7.8277
REGION1,DEMINDDSL,DSL,2020,8.2262
REGION1,DEMINDDSL,DSL,2021,8.6086
REGION1,DEMINDDSL,DSL,2022,8.9771
REGION1,DEMINDDSL,DSL,2023,9.333
REGION1,DEMINDDSL,DSL,2024,9.6782
REGION1,DEMINDDSL,DSL,2025,10.0134
REGION1,DEMINDDSL,DSL,2026,10.3397
REGION1,DEMINDDSL,DSL,2027,10.658
REGION1,DEMINDDSL,DSL,2028,10.969
REGION1,DEMINDDSL,DSL,2029,11.2733
REGION1,DEMINDDSL,DSL,2030,11.5201
REGION1,DEMINDELCC02,ELCC02,2016,3.5333
REGION1,DEMINDELCC02,ELCC02,2017,3.7917
REGION1,DEMINDELCC02,ELCC02,2018,4.0499
REGION1,DEMINDELCC02,ELCC02,2019,4.3081
REGION1,DEMINDELCC02,ELCC02,2020,4.7316
REGION1,DEMINDELCC02,ELCC02,2021,5.1551
REGION1,DEMINDELCC02,ELCC02,2022,5.5784
REGION1,DEMINDELCC02,ELCC02,2023,6.0016
REGION1,DEMINDELCC02,ELCC02,2024,6.4248
REGION1,DEMINDELCC02,ELCC02,2025,6.8479
REGION1,DEMINDELCC02,ELCC02,2026,7.2708
REGION1,DEMINDELCC02,ELCC02,2027,7.6938
REGION1,DEMINDELCC02,ELCC02,2028,8.1166
REGION1,DEMINDELCC02,ELCC02,2029,8.5394
REGION1,DEMINDELCC02,ELCC02,2030,8.9093
REGION1,DEMINDELCN02,ELCN02,2016,15.6135
REGION1,DEMINDELCN02,ELCN02,2017,16.7551
REGION1,DEMINDELCN02,ELCN02,2018,17.8962
REGION1,DEMINDELCN02,ELCN02,2019,19.037
REGION1,DEMINDELCN02,ELCN02,2020,20.9087
REGION1,DEMINDELCN02,ELCN02,2021,22.7798
REGION1,DEMINDELCN02,ELCN02,2022,24.6505
REGION1,DEMINDELCN02,ELCN02,2023,26.5208
REGION1,DEMINDELCN02,ELCN02,2024,28.3906
REGION1,DEMINDELCN02,ELCN02,2025,30.2601
REGION1,DEMINDELCN02,ELCN02,2026,32.1293
REGION1,DEMINDELCN02,ELCN02,2027,33.9981
REGION1,DEMINDELCN02,ELCN02,2028,35.8667
REGION1,DEMINDELCN02,ELCN02,2029,37.735
REGION1,DEMINDELCN02,ELCN02,2030,39.3694
REGION1,DEMINDELCS02,ELCS02,2016,19.0991
REGION1,DEMINDELCS02,ELCS02,2017,20.4956
REGION1,DEMINDELCS02,ELCS02,2018,21.8914
REGION1,DEMINDELCS02,ELCS02,2019,23.2869
REGION1,DEMINDELCS02,ELCS02,2020,25.5764
REGION1,DEMINDELCS02,ELCS02,2021,27.8652
REGION1,DEMINDELCS02,ELCS02,2022,30.1535
REGION1,DEMINDELCS02,ELCS02,2023,32.4413
REGION1,DEMINDELCS02,ELCS02,2024,34.7286
REGION1,DEMINDELCS02,ELCS02,2025,37.0154
REGION1,DEMINDELCS02,ELCS02,2026,39.3019
REGION1,DEMINDELCS02,ELCS02,2027,41.5879
REGION1,DEMINDELCS02,ELCS02,2028,43.8736
REGION1,DEMINDELCS02,ELCS02,2029,46.159
REGION1,DEMINDELCS02,ELCS02,2030,48.1583
REGION1,DEMINDHFO,HFO,2016,1.9079
REGION1,DEMINDHFO,HFO,2017,2.0473
REGION1,DEMINDHFO,HFO,2018,2.1867
REGION1,DEMINDHFO,HFO,2019,2.3262
REGION1,DEMINDHFO,HFO,2020,2.5548
REGION1,DEMINDHFO,HFO,2021,2.7834
REGION1,DEMINDHFO,HFO,2022,3.0121
REGION1,DEMINDHFO,HFO,2023,3.2406
REGION1,DEMINDHFO,HFO,2024,3.4691
REGION1,DEMINDHFO,HFO,2025,3.6975
REGION1,DEMINDHFO,HFO,2026,3.9259
REGION1,DEMINDHFO,HFO,2027,4.1543
REGION1,DEMINDHFO,HFO,2028,4.3826
REGION1,DEMINDHFO,HFO,2029,4.6108
REGION1,DEMINDHFO,HFO,2030,4.8106
REGION1,DEMINDKER,KER,2016,0.1201
REGION1,DEMINDKER,KER,2017,0.125
REGION1,DEMINDKER,KER,2018,0.1297
REGION1,DEMINDKER,KER,2019,0.1343
REGION1,DEMINDKER,KER,2020,0.1412
REGION1,DEMINDKER,KER,2021,0.1477
REGION1,DEMINDKER,KER,2022,0.154
REGION1,DEMINDKER,KER,2023,0.1601
REGION1,DEMINDKER,KER,2024,0.1661
REGION1,DEMINDKER,KER,2025,0.1718
REGION1,DEMINDKER,KER,2026,0.1774
REGION1,DEMINDKER,KER,2027,0.1829
REGION1,DEMINDKER,KER,2028,0.1883
REGION1,DEMINDKER,KER,2029,0.1934
REGION1,DEMINDKER,KER,2030,0.1976
REGION1,DEMINDLPG,LPG,2016,1.6502
REGION1,DEMINDLPG,LPG,2017,1.7171
REGION1,DEMINDLPG,LPG,2018,1.7823
REGION1,DEMINDLPG,LPG,2019,1.8461
REGION1,DEMINDLPG,LPG,2020,1.94
REGION1,DEMINDLPG,LPG,2021,2.0302
REGION1,DEMINDLPG,LPG,2022,2.1171
REGION1,DEMINDLPG,LPG,2023,2.2011
REGION1,DEMINDLPG,LPG,2024,2.2824
REGION1,DEMINDLPG,LPG,2025,2.3615
REGION1,DEMINDLPG,LPG,2026,2.4384
REGION1,DEMINDLPG,LPG,2027,2.5136
REGION1,DEMINDLPG,LPG,2028,2.5868
REGION1,DEMINDLPG,LPG,2029,2.6586
REGION1,DEMINDLPG,LPG,2030,2.7169
REGION1,DEMINDNGS,NGS,2016,9.2684
REGION1,DEMINDNGS,NGS,2017,9.9461
REGION1,DEMINDNGS,NGS,2018,10.6234
REGION1,DEMINDNGS,NGS,2019,11.3006
REGION1,DEMINDNGS,NGS,2020,12.4117
REGION1,DEMINDNGS,NGS,2021,13.5223
REGION1,DEMINDNGS,NGS,2022,14.6328
REGION1,DEMINDNGS,NGS,2023,15.743
REGION1,DEMINDNGS,NGS,2024,16.853
REGION1,DEMINDNGS,NGS,2025,17.9627
REGION1,DEMINDNGS,NGS,2026,19.0723
REGION1,DEMINDNGS,NGS,2027,20.1817
REGION1,DEMINDNGS,NGS,2028,21.2909
REGION1,DEMINDNGS,NGS,2029,22.4
REGION1,DEMINDNGS,NGS,2030,23.3701
REGION1,DEMOTHOHC,OHC,2016,18.563
REGION1,DEMOTHOHC,OHC,2017,19.9203
REGION1,DEMOTHOHC,OHC,2018,21.2769
REGION1,DEMOTHOHC,OHC,2019,22.6332
REGION1,DEMOTHOHC,OHC,2020,24.8584
REGION1,DEMOTHOHC,OHC,2021,27.0831
REGION1,DEMOTHOHC,OHC,2022,29.3072
REGION1,DEMOTHOHC,OHC,2023,31.5308
REGION1,DEMOTHOHC,OHC,2024,33.7538
REGION1,DEMOTHOHC,OHC,2025,35.9765
REGION1,DEMOTHOHC,OHC,2026,38.1987
REGION1,DEMOTHOHC,OHC,2027,40.4206
REGION1,DEMOTHOHC,OHC,2028,42.6422
REGION1,DEMOTHOHC,OHC,2029,44.8635
REGION1,DEMOTHOHC,OHC,2030,46.8066
REGION1,DEMPWRBIO,BIO,2016,0.2122
REGION1,DEMPWRBIO,BIO,2017,0.4901
REGION1,DEMPWRBIO,BIO,2018,0.9195
REGION1,DEMPWRBIO,BIO,2019,0.9195
