row number,col number,cluster_unique
20,37,NOWC01
21,11,NOWC02
21,12,NOWC02
21,13,NOWC02
21,14,NOWC02
21,15,NOWC02
21,16,NOWC02
21,17,NOWC02
21,18,NOWC02
21,19,NOWC01
21,20,NOWC02
21,21,NOWC02
21,22,NOWC01
21,23,NOWC02
21,24,NOWC02
21,25,NOWC02
21,26,NOWC02
21,27,NOWC02
21,28,NOWC02
21,29,NOWC01
21,30,NOWC02
21,31,NOWC02
21,32,NOWC01
21,33,NOWC01
21,34,NOWC01
21,35,NOWC01
21,36,NOWC01
21,37,NOWC01
22,10,NOWC02
22,11,NOWC02
22,12,NOWC02
22,13,NOWC02
22,14,NOWC02
22,15,NOWC02
22,16,NOWC02
22,17,NOWC02
22,18,NOWC02
22,19,NOWC02
22,20,NOWC02
22,21,NOWC01
22,22,NOWC01
22,23,NOWC02
22,24,NOWC02
22,25,NOWC02
22,26,NOWC02
22,27,NOWC01
22,28,NOWC02
22,29,NOWC01
22,30,NOWC02
22,31,NOWC02
22,32,NOWC01
22,33,NOWC01
22,34,NOWC01
22,35,NOWC01
22,36,NOWC01
22,37,NOWC01
23,10,NOWC02
23,11,NOWC02
23,12,NOWC02
23,13,NOWC02
23,14,NOWC02
23,15,NOWC02
23,16,NOWC02
23,17,NOWC02
23,18,NOWC02
23,19,NOWC02
23,20,NOWC02
23,21,NOWC02
23,22,NOWC02
23,23,NOWC01
23,24,NOWC02
23,25,NOWC02
23,26,NOWC02
23,27,NOWC02
23,28,NOWC02
23,29,NOWC02
23,30,NOWC01
23,31,NOWC02
23,32,NOWC01
23,33,NOWC01
23,34,NOWC01
23,35,NOWC01
23,36,NOWC01
23,37,NOWC01
23,38,NOWC01
24,10,NOWC02
24,11,NOWC02
24,12,NOWC02
24,13,NOWC02
24,14,NOWC02
24,15,NOWC02
24,16,NOWC02
24,17,NOWC02
24,18,NOWC02
24,19,NOWC02
24,20,NOWC02
24,21,NOWC02
24,22,NOWC02
24,23,NOWC02
24,24,NOWC02
24,25,NOWC02
24,26,NOWC02
24,27,NOWC02
24,28,NOWC02
24,29,NOWC02
24,30,NOWC02
24,31,NOWC02
24,32,NOWC02
24,33,NOWC02
24,34,NOWC02
24,35,NOWC01
24,36,NOWC01
24,37,NOWC01
24,38,NOWC01
24,39,NOWC01
25,9,NOWC02
25,10,NOWC02
25,11,NOWC02
25,12,NOWC02
25,13,NOWC02
25,14,NOWC02
25,15,NOWC02
25,16,NOWC02
25,17,NOWC02
25,18,NOWC02
25,19,NOWC02
25,20,NOWC02
25,21,NOWC02
25,22,NOWC02
25,23,NOWC02
25,24,NOWC02
25,25,NOWC01
25,26,NOWC02
25,27,NOWC02
25,28,NOWC02
25,29,NOWC02
25,30,NOWC02
25,31,NOWC02
25,32,NOWC02
25,33,NOWC02
25,34,NOWC02
25,35,NOWC02
25,36,NOWC01
