cluster,Cassava Irrigation High,Cassava Irrigation Intermediate,Cassava Rain-fed High,Cassava Rain-fed Intermediate,Cassava Rain-fed Low,Coffee Irrigation High,Coffee Irrigation Intermediate,Coffee Rain-fed High,Coffee Rain-fed Intermediate,Coffee Rain-fed Low,Maize Irrigation High,Maize Irrigation Intermediate,Maize Rain-fed High,Maize Rain-fed Intermediate,Maize Rain-fed Low,Sugarcane Irrigation High,Sugarcane Irrigation Intermediate,Sugarcane Rain-fed High,Sugarcane Rain-fed Intermediate,Sugarcane Rain-fed Low,Other Irrigation High,Other Irrigation Intermediate,Other Rain-fed High,Other Rain-fed Intermediate,Other Rain-fed Low,Rice Irrigation High,Rice Irrigation Intermediate,Rice Rain-fed High,Rice Rain-fed Intermediate,Rice Rain-fed Low,Vegetables and fruits Irrigation High,Vegetables and fruits Irrigation Intermediate,Vegetables and fruits Rain-fed High,Vegetables and fruits Rain-fed Intermediate,Vegetables and fruits Rain-fed Low
21,0.893045871559633,0.8566605504587157,0.6984587155963303,0.6860275229357798,0.6611743119266055,1.0507522935779816,1.008045871559633,0.7629816513761468,0.7514678899082569,0.7280733944954128,0.4649449541284404,0.44579816513761467,0.4494128440366973,0.4340642201834862,0.4061192660550459,1.2486697247706422,1.1977339449541284,0.8764678899082569,0.8757155963302753,0.8683119266055046,0.5735412844036697,0.5503669724770642,0.5493394495412843,0.5288440366972477,0.4930825688073394,0.6829082568807339,0.6542844036697247,0.5446697247706422,0.5286422018348623,0.49844954128440366,0.6022437745740498,0.5770091743119266,0.47052686762778506,0.4598230668414153,0.43864744429882035
22,0.872457264957265,0.8428290598290599,0.7316153846153847,0.7213739316239316,0.7012564102564103,1.0265811965811966,0.991758547008547,0.8124209401709401,0.8018974358974359,0.7807457264957265,0.4682777777777778,0.45261965811965815,0.475982905982906,0.4629508547008547,0.4360299145299146,1.2327243589743588,1.190715811965812,0.9686495726495726,0.9723760683760684,0.9674700854700855,0.57525,0.5558739316239316,0.5376666666666666,0.5229893162393163,0.5035213675213674,0.6843290598290598,0.6610854700854701,0.6120555555555556,0.5931923076923077,0.5591559829059829,0.5938736263736271,0.5725857753357748,0.49397649572649593,0.48349877899877874,0.46410622710622706
23,0.8385483870967742,0.8093064516129032,0.7082903225806452,0.698258064516129,0.6783709677419355,0.986758064516129,0.952274193548387,0.7929516129032258,0.7814193548387096,0.7590645161290324,0.4540806451612903,0.4385806451612903,0.4554032258064516,0.4412096774193548,0.41496774193548386,1.1864838709677419,1.1446129032258063,0.949483870967742,0.9512419354838709,0.9435806451612904,0.5515967741935485,0.5321612903225806,0.5533870967741935,0.5391451612903225,0.5091290322580645,0.6518548387096774,0.6281451612903226,0.5981935483870968,0.5795967741935484,0.5468709677419354,0.550048387096774,0.5299539170506913,0.4690322580645163,0.45867281105990804,0.4393433179723502
24,0.8991515151515151,0.8614478114478115,0.7255117845117846,0.7094814814814815,0.6794343434343434,1.0580101010101008,1.0136498316498317,0.8133636363636364,0.7950774410774412,0.7607744107744108,0.473050505050505,0.4525454545454546,0.46131649831649835,0.4438888888888889,0.4121952861952862,1.2575016835016837,1.2045690235690236,0.9521515151515151,0.9409191919191919,0.9171683501683501,0.5811717171717172,0.5563063973063973,0.5698350168350168,0.5485791245791246,0.5102154882154882,0.6842929292929293,0.6543030303030303,0.6206161616161616,0.5973367003367004,0.5549158249158249,0.5941087061087063,0.5685709475709478,0.48474025974025986,0.4707792207792208,0.44509764309764305
25,0.79192,0.76052,0.724,0.70816,0.67664,0.93176,0.89508,0.81128,0.7943600000000001,0.76232,0.48824,0.46492,0.45932,0.442,0.41368,1.10468,1.06124,0.9892799999999999,0.97192,0.89876,0.5316000000000001,0.51216,0.5274800000000001,0.51008,0.47768,0.6439199999999999,0.6190399999999999,0.56884,0.5545599999999999,0.52008,0.5060571428571428,0.4856742857142856,0.4688285714285714,0.4554571428571428,0.4324914285714286
26,0.781974358974359,0.7565512820512821,0.733974358974359,0.7211025641025641,0.6947692307692307,0.9202307692307693,0.8903461538461538,0.829602564102564,0.8162564102564103,0.7896794871794872,0.44424358974358974,0.4304230769230769,0.44469230769230766,0.430948717948718,0.40565384615384614,1.0904871794871795,1.0552948717948718,1.015974358974359,0.9971410256410256,0.9607820512820513,0.5440769230769231,0.5271410256410256,0.5446538461538462,0.5275897435897435,0.49674358974358973,0.647576923076923,0.6266666666666666,0.5937820512820513,0.5781794871794872,0.5491666666666666,0.4950769230769231,0.4782765567765568,0.4680897435897436,0.4578351648351649,0.4365860805860806
27,0.839135135135135,0.8028243243243244,0.7449324324324323,0.7268648648648649,0.6925405405405405,0.9874459459459459,0.9446756756756757,0.8322837837837838,0.8128783783783783,0.7765405405405406,0.4506621621621622,0.432,0.4445945945945946,0.42793243243243245,0.39872972972972975,1.1740135135135135,1.1230405405405406,1.0148243243243245,0.9965540540540541,0.9527297297297297,0.5575810810810811,0.5339594594594594,0.546445945945946,0.5282297297297297,0.49264864864864866,0.6658108108108108,0.6368648648648649,0.5974324324324324,0.5752162162162162,0.5344864864864864,0.5335482625482626,0.5099980694980697,0.48264864864864865,0.467457528957529,0.4402297297297299
28,0.8988250000000001,0.8608666666666667,0.8065083333333333,0.7873,0.7500333333333333,1.057675,1.0129166666666667,0.888475,0.87085,0.8351000000000001,0.477375,0.4568666666666667,0.4839333333333333,0.4666,0.4290583333333333,1.2578416666666667,1.2040666666666666,1.0929416666666667,1.0751083333333333,1.0249916666666665,0.579725,0.5543833333333333,0.5932416666666667,0.5727583333333334,0.5241666666666667,0.6776333333333333,0.6470083333333333,0.5862833333333333,0.5641083333333333,0.5247833333333333,0.5932535714285709,0.5671428571428571,0.514234523809524,0.4997297619047618,0.4761273809523809
29,0.9418169642857144,0.9043035714285714,0.82740625,0.8111919642857144,0.7778125,1.1081830357142857,1.06415625,0.8954419642857143,0.8825758928571429,0.8552232142857144,0.47225446428571427,0.45154464285714285,0.5109508928571428,0.4929419642857143,0.45369642857142856,1.3183794642857143,1.2654375,1.0972276785714288,1.08965625,1.0563660714285714,0.5776785714285715,0.55253125,0.5018660714285714,0.5031830357142857,0.5133883928571429,0.6717008928571429,0.6419330357142856,0.5658169642857144,0.5422678571428571,0.4942276785714286,0.6488966836734692,0.6217691326530613,0.5402889030612243,0.5266511479591839,0.5037614795918369
30,0.8295,0.7925,0.6925,0.68,0.653,0.9755,0.9325,0.741,0.733,0.711,0.519,0.496,0.4735,0.457,0.425,1.1605,1.1095,0.8935,0.8885,0.881,0.536,0.5135,0.5305,0.511,0.475,0.6435,0.6165,0.0,0.0,0.202,0.5214285714285715,0.4983571428571429,0.44107142857142856,0.4328571428571429,0.41507142857142854
31,0.8191666666666666,0.7807777777777778,0.7172222222222222,0.6978888888888889,0.6603333333333333,0.9641111111111111,0.9184444444444445,0.7993888888888889,0.7786666666666666,0.740111111111111,0.6282222222222221,0.5841111111111111,0.5705555555555556,0.5124444444444445,0.46405555555555555,1.145722222222222,1.0911111111111111,0.9721666666666666,0.9511666666666666,0.9059444444444444,0.5253888888888889,0.5025555555555555,0.519888888888889,0.49872222222222223,0.46194444444444444,0.6453333333333334,0.6150555555555556,0.48894444444444446,0.4736666666666667,0.4641111111111111,0.5252698412698413,0.5001666666666666,0.47015079365079354,0.456111111111111,0.42787301587301585
32,0.8014263565891473,0.7750697674418604,0.7294651162790697,0.7183565891472868,0.6955193798449613,0.943046511627907,0.9120542635658915,0.8228604651162791,0.8108372093023256,0.7868527131782946,0.47213178294573643,0.45829457364341086,0.4725813953488372,0.4586589147286822,0.4333488372093023,1.132798449612403,1.0956976744186047,1.0236046511627908,1.010108527131783,0.9763100775193799,0.5662713178294574,0.5486976744186046,0.5651472868217053,0.549077519379845,0.5170697674418604,0.6933643410852713,0.6726821705426356,0.6421550387596899,0.6251627906976743,0.5934496124031008,0.46397563676633435,0.4474894795127354,0.41618936877076407,0.4088205980066446,0.3958250276854929
33,0.790703125,0.7654140625,0.7613046875,0.746640625,0.71490625,0.9304453125,0.90065625,0.8641328125,0.849359375,0.8195546875,0.4564765625,0.442859375,0.4568515625,0.4432421875,0.4183359375,1.104828125,1.069671875,1.0545,1.0343515625,0.9932421875,0.5567421875,0.539875,0.55721875,0.5403828125,0.5096640625,0.667015625,0.6466328125,0.6225546875,0.6066640625,0.57734375,0.4826372767857145,0.46629687499999994,0.46395758928571434,0.45331250000000023,0.4295390624999999
34,0.9726929133858268,0.9362244094488188,0.6243818897637795,0.6137716535433071,0.5924094488188977,1.144507874015748,1.1016653543307087,0.7111259842519685,0.6979448818897638,0.6716889763779527,0.5252322834645669,0.5062125984251968,0.4523503937007874,0.4363543307086614,0.4077677165354331,1.3576574803149606,1.3070629921259842,0.7329330708661418,0.7279055118110237,0.7177716535433072,0.6295905511811023,0.6041417322834646,0.5283897637795276,0.5085787401574803,0.4731377952755906,0.7655118110236221,0.7372362204724409,0.6488267716535433,0.6252480314960629,0.5829212598425197,0.5524718785151858,0.531047806524184,0.3748273340832397,0.3669145106861641,0.351751968503937
35,0.977,0.9400918367346939,0.6139285714285715,0.6055918367346939,0.5846326530612245,1.1494285714285712,1.1061734693877552,0.7008061224489797,0.6902551020408164,0.6643877551020408,0.5338367346938776,0.5143469387755102,0.45583673469387753,0.4395612244897959,0.41030612244897957,1.3622551020408165,1.3108979591836736,0.7131326530612244,0.7099795918367346,0.7014489795918367,0.6467755102040816,0.6220408163265306,0.5444183673469388,0.524234693877551,0.4880510204081632,0.7745102040816326,0.7457551020408164,0.6454285714285715,0.6212857142857143,0.5782142857142857,0.5625422740524783,0.540594752186589,0.38499125364431475,0.37615889212827974,0.35848688046647215
36,0.9927848837209302,0.9552470930232558,0.6995726744186046,0.6867994186046511,0.6630581395348837,1.1681540697674417,1.1239447674418606,0.7917441860465115,0.7761482558139535,0.7474505813953489,0.5375319767441861,0.5177906976744187,0.4707790697674418,0.45488662790697676,0.4264505813953488,1.3891802325581395,1.3370436046511627,0.8658488372093024,0.8601453488372093,0.8485668604651163,0.6442732558139534,0.6177674418604652,0.5382238372093023,0.5180290697674419,0.48192732558139534,0.7825436046511628,0.7533691860465116,0.665546511627907,0.6413488372093024,0.5978517441860465,0.5621345514950165,0.5400759966777409,0.4098247508305648,0.4017379568106312,0.3865556478405313
37,0.7208571428571429,0.6952857142857143,0.721,0.6954285714285714,0.6495,0.8480714285714286,0.8179285714285714,0.8483571428571429,0.8182857142857143,0.7641428571428571,0.5582142857142857,0.5331428571428571,0.5590714285714286,0.5339285714285714,0.4496428571428572,0.9999285714285715,0.9646428571428571,1.0002142857142857,0.9648571428571429,0.7878571428571429,0.5135714285714286,0.49742857142857144,0.5135714285714286,0.49742857142857144,0.4682857142857143,0.6174285714285714,0.5972142857142857,0.5897857142857144,0.5725,0.5412142857142856,0.46893877551020413,0.4525408163265306,0.468734693877551,0.4526734693877551,0.42326530612244906
38,0.7983333333333333,0.7743055555555556,0.7988333333333334,0.7745833333333334,0.73025,0.9393888888888889,0.9108333333333334,0.9392222222222222,0.9113333333333333,0.8592222222222222,0.4665833333333333,0.45372222222222225,0.4669166666666667,0.4539166666666667,0.42988888888888893,1.108277777777778,1.0745833333333332,1.108638888888889,1.0750833333333332,1.0138333333333334,0.5666111111111111,0.5501666666666666,0.5666111111111111,0.5501666666666666,0.52,0.685138888888889,0.6655555555555556,0.6631944444444444,0.6466111111111111,0.6163333333333334,0.47163888888888894,0.45615873015873015,0.47030555555555564,0.455797619047619,0.4284484126984128
39,0.7619565217391304,0.7373478260869565,0.7624130434782609,0.7375217391304347,0.6925869565217391,0.8964782608695653,0.8672173913043478,0.8968695652173913,0.8677173913043479,0.8148478260869565,0.4433913043478261,0.43021739130434783,0.44382608695652176,0.4303478260869565,0.4059782608695652,1.0565217391304347,1.0222608695652173,1.0569347826086957,1.0226304347826087,0.9484347826086956,0.5462391304347827,0.53,0.546304347826087,0.53,0.5001739130434782,0.6510434782608696,0.6308913043478261,0.6276521739130435,0.6117826086956522,0.5810434782608697,0.4754099378881988,0.45920496894409923,0.4746024844720498,0.45907453416149074,0.4300496894409938
